,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
0,Maruti 800 AC,2007.0,60000,70000.0,Petrol,Individual,Manual,First Owner
1,Hyundai Verna 1.6 SX,2012.0,600000,100000.0,Diesel,Individual,Manual,First Owner
2,Datsun RediGO T Option,2017.0,250000,46000.0,Petrol,Individual,Manual,First Owner
3,Maruti Alto LX BSIII,2007.0,140000,125000.0,Petrol,Individual,Manual,First Owner
4,Hyundai Xcent 1.2 Kappa S,2016.0,550000,25000.0,Petrol,Individual,Manual,First Owner
5,Hyundai Creta 1.6 VTVT S,2015.0,850000,25000.0,Petrol,Individual,Manual,First Owner
6,Maruti Celerio Green VXI,2017.0,365000,78000.0,CNG,Individual,Manual,First Owner
7,Chevrolet Sail 1.2 Base,2015.0,260000,35000.0,Petrol,Individual,Manual,First Owner
8,Tata Indigo Grand Petrol,2014.0,250000,100000.0,Petrol,Individual,Manual,First Owner
9,Toyota Corolla Altis 1.8 VL CVT,2018.0,1650000,25000.0,Petrol,Dealer,Automatic,First Owner
11,Maruti Wagon R LXI Minor,2007.0,135000,50000.0,Diesel,Individual,Manual,First Owner
17,Maruti Celerio Green VXI,2017.0,365000,78000.0,Diesel,Individual,Manual,First Owner
21,Maruti Ciaz VXi Plus,2015.0,585000,24000.0,Petrol,Dealer,Manual,First Owner
22,Hyundai Venue SX Opt Diesel,2019.0,1195000,5000.0,Diesel,Dealer,Manual,First Owner
23,Jaguar XF 2.2 Litre Luxury,2014.0,1964999,28000.0,Diesel,Dealer,Automatic,First Owner
24,Mercedes-Benz New C-Class 220 CDI AT,2013.0,1425000,59000.0,Diesel,Dealer,Automatic,First Owner
25,Maruti Vitara Brezza ZDi Plus AMT,2018.0,975000,4500.0,Diesel,Dealer,Automatic,First Owner
26,Audi Q5 2.0 TDI,2011.0,1190000,175900.0,Diesel,Dealer,Automatic,First Owner
27,Honda City V MT,2018.0,930000,14500.0,Petrol,Dealer,Manual,First Owner
28,Tata Tigor 1.2 Revotron XT,2018.0,525000,15000.0,Petrol,Individual,Manual,First Owner
29,Audi A6 2.0 TDI  Design Edition,2013.0,1735000,50000.0,Diesel,Dealer,Automatic,First Owner
30,Toyota Corolla Altis G AT,2016.0,900000,50000.0,Petrol,Individual,Automatic,First Owner
31,Toyota Innova 2.5 G (Diesel) 7 Seater,2015.0,1300000,80000.0,Diesel,Individual,Manual,First Owner
32,Jeep Compass 1.4 Sport Plus BSIV,2019.0,1400000,10000.0,Petrol,Individual,Manual,First Owner
33,Mercedes-Benz E-Class E 200 CGI Elegance,2010.0,850000,119000.0,Petrol,Dealer,Automatic,First Owner
34,Hyundai Elantra CRDi S,2012.0,625000,40000.0,Diesel,Individual,Manual,First Owner
35,Mahindra Scorpio 1.99 S10,2014.0,1050000,50000.0,Diesel,Individual,Manual,First Owner
36,Hyundai Grand i10 1.2 Kappa Asta,2019.0,500000,15000.0,Petrol,Individual,Manual,First Owner
37,Maruti Alto LXi,2006.0,100000,80000.0,Petrol,Individual,Manual,First Owner
38,Maruti Swift Dzire VDI Optional,2017.0,725000,18500.0,Diesel,Dealer,Manual,First Owner
39,Maruti Eeco 5 Seater AC BSIV,2018.0,401000,10200.0,Petrol,Dealer,Manual,First Owner
40,Hyundai i20 Sportz 1.4 CRDi,2018.0,750000,29000.0,Diesel,Dealer,Manual,First Owner
41,Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018.0,310000,28000.0,Petrol,Dealer,Manual,First Owner
42,Maruti Swift ZDi BSIV,2016.0,665000,46000.0,Diesel,Dealer,Manual,First Owner
